"","x"
"1",591.488095
"2",1401.277778
"3",6794.647944
"4",1159.684848
"5",3840.338744
"6",0
"7",160
"8",3218.89881
"9",199.840476
"10",6031.503896
"11",2158.516667
"12",153.083333
"13",8481.112771
"14",1357.988637
"15",53
"16",868.792857
"17",596.166667
"18",3
"19",8481.112771
"20",0
"21",1589.333333
"22",4364.851191
"23",0
"24",2261.461797
"25",1159.684848
"26",8481.112771
"27",314
"28",2125.846717
"29",4706.760209
"30",8466.462771
"31",1083.035715
"32",0
"33",2356.142858
"34",4
"35",0
"36",2356.142858
"37",1083.035715
"38",2356.142858
"39",7103.185065
"40",0
"41",2356.142858
"42",1083.035715
"43",1083.035715
"44",835.166667
"45",2356.142858
"46",5181.408334
"47",2502.916667
"48",2723.416667
"49",6794.647944
"50",6794.647944
"51",6794.647944
"52",0
"53",2356.142858
"54",6794.647944
"55",6806.755628
"56",6155.529437
"57",487.488095
"58",11586.927669
"59",6031.503896
"60",6155.529437
"61",10071.779437
"62",2356.142858
"63",2356.142858
"64",2356.142858
"65",6794.647944
"66",5732.735714
"67",2356.142858
"68",1499.392858
"69",7217.848268
"70",1363.650794
"71",2356.142858
"72",596.166667
"73",2563.653896
"74",2356.142858
"75",149.416667
"76",4459.982143
"77",6806.755628
"78",17185.27316
"79",327.059524
"80",20535.157144
"81",333.571429
"82",1159.684848
"83",327.059524
"84",17749.864648
"85",6226.305411
"86",11189.993723
"87",119
"88",10176.238095
"89",0
"90",8248.355448
"91",0
"92",745.583334
"93",0
"94",8466.462771
"95",6242.202382
"96",4
"97",1876.555556
"98",6806.755628
