"","x"
"1",2.105587
"2",6.011074
"3",3.163082
"4",0.891304
"5",4.673249
"6",1
"7",3.991857
"8",3.155192
"9",3.333261
"10",3.64533
"11",3.083043
"12",6.902369
"13",5.395641
"14",1.85624
"15",2.254787
"16",3.33216
"17",2.524963
"18",3.458333
"19",5.395641
"20",4
"21",7.203533
"22",4.64357
"23",1
"24",2.254636
"25",2.891304
"26",5.395641
"27",2.02558
"28",3.723319
"29",2.733575
"30",6.254924
"31",3.44183
"32",5
"33",1.99876
"34",1.75
"35",3
"36",1.99876
"37",3.44183
"38",1.99876
"39",2.980452
"40",0
"41",1.99876
"42",3.44183
"43",3.44183
"44",3.28438
"45",1.99876
"46",4.414142
"47",4.8835
"48",1.31341
"49",3.163082
"50",3.163082
"51",3.593758
"52",0.323232
"53",1.99876
"54",3.163082
"55",2.721844
"56",2.663752
"57",4.562238
"58",4.919642
"59",3.204854
"60",3.396881
"61",3.60345
"62",1.99876
"63",1.99876
"64",1.99876
"65",3.163082
"66",2.405908
"67",1.99876
"68",2.799991
"69",2.456733
"70",0.785759
"71",1.99876
"72",0.740028
"73",1.213837
"74",1.99876
"75",1.625
"76",4.184469
"77",2.721844
"78",4.702429
"79",6.322223
"80",3.380085
"81",1.072434
"82",2.891304
"83",6.322223
"84",5.106157
"85",2.880513
"86",2.89128
"87",2.55
"88",2.133289
"89",4
"90",3.072099
"91",4
"92",1.856413
"93",1
"94",6.622749
"95",5.670703
"96",1.125
"97",3.858193
"98",2.721844
