"","x"
"1",9
"2",15
"3",33
"4",2
"5",14
"6",1
"7",23
"8",34
"9",16
"10",33
"11",13
"12",23
"13",42
"14",43
"15",12
"16",9
"17",8
"18",7
"19",42
"20",4
"21",17
"22",70
"23",1
"24",55
"25",4
"26",42
"27",18
"28",38
"29",13
"30",26
"31",23
"32",5
"33",31
"34",3
"35",3
"36",31
"37",23
"38",31
"39",22
"40",0
"41",31
"42",23
"43",23
"44",22
"45",31
"46",29
"47",31
"48",73
"49",33
"50",33
"51",38
"52",6
"53",31
"54",33
"55",17
"56",19
"57",15
"58",49
"59",29
"60",11
"61",49
"62",31
"63",31
"64",31
"65",33
"66",39
"67",31
"68",23
"69",80
"70",10
"71",31
"72",13
"73",14
"74",31
"75",3
"76",77
"77",17
"78",47
"79",22
"80",79
"81",9
"82",4
"83",22
"84",87
"85",33
"86",79
"87",5
"88",56
"89",4
"90",33
"91",4
"92",14
"93",1
"94",33
"95",78
"96",5
"97",21
"98",17
